PCA1,PCA2,Community,t-SNE1,t-SNE2,Simplified Community,Username,engagement_score,retweet_count,Favorite Count,Followers Count
-13747.543427228895,-0.06265035075325483,307,-67.19372,-2.4132366,Other,carolyn h,0.0,0,0,32
-9495.5434272289,-0.06233870783241888,15,53.19716,19.70597,15,selina grissom,0.00023337222870478414,0,1,4284
-13713.543427228895,-0.06264972488224531,573,-36.551235,-38.509583,Other,agent k.,0.0,0,0,66
-13776.543427233497,0.18734911541558996,1,-40.98888,43.319607,1,prince khant,0.25,0,1,3
-13717.543427228895,-0.06264979851412879,209,-41.41617,-39.57881,Other,jamarian kennybrew,0.0,0,0,62
-4072.5434272289076,-0.06185420666353611,574,70.53389,8.843004,Other,the gist usa,0.0006180469715698393,1,5,9707
-13763.543427231061,0.054996413542740666,575,-52.9316,26.49224,Other,markmarderosian,0.11764705882352941,0,2,16
-12952.543427229006,-0.05659706907341952,576,17.808088,40.696194,Other,jasminetwil @home mourning my mom.,0.006038647342995169,0,5,827
-13528.543427228895,-0.06264631940763471,15,-19.150995,24.441717,15,john que,0.0,0,0,251
-7445.543427228919,-0.06127151814862622,1,64.48468,17.402903,1,ambushman27 (captain red beard),0.0012628255722178373,2,6,6334
-1837.5434272289767,-0.05816082797193642,1,72.23102,4.165714,1,alex means,0.004270283848279327,3,48,11942
-13757.543427229695,-0.019172273963398295,0,-64.54857,9.549535,0,dmw,0.043478260869565216,0,1,22
-10301.543427228895,-0.06258691688564336,308,48.26478,12.893976,Other,ɴᴀᴛʜᴀɴ ᶜᵒᵒᶫᶤᵉ ❁,0.0,0,0,3478
-13702.543427228895,-0.06264952239456577,1,-33.889095,-26.530996,1,david pritchard,0.0,0,0,77
-13779.543427228895,-0.0626509398083226,577,-35.86049,49.23439,Other,daron,0.0,0,0,0
-12525.543427228924,-0.06103423071484604,309,25.34739,-0.3851006,Other,ibirori,0.0015936254980079682,0,2,1254
-12153.543427228895,-0.06262100844769107,1,40.063416,-33.90289,1,lashawn,0.0,0,0,1626
-13752.543427229552,-0.026936157078823464,1,-66.4485,3.714415,1,gt,0.03571428571428571,0,1,27
-13246.543427228895,-0.0626411283598499,1,5.80376,-41.610275,1,jerry chandler,0.0,0,0,533
-13616.543427229119,-0.05045281735785159,49,-26.998964,-5.0950136,Other,layton 11b,0.012195121951219513,0,2,163
-4053.543427228964,-0.05887367215753629,1,70.62639,8.832934,1,dan feehan,0.0035982317261231624,7,28,9726
-13540.543427228895,-0.06264654030328513,15,-17.197083,15.717873,15,nikki jean,0.0,0,0,239
-12577.543427228895,-0.06262881342733914,310,26.31286,3.6900318,Other,yassine,0.0,0,0,1202
-9856.5434272289,-0.06232388334064578,311,50.460148,17.362349,Other,kelly,0.00025484199796126404,0,1,3923
-13336.543427228895,-0.06264278507722804,1,0.42219153,-23.09356,1,محمد ريحا ن,0.0,0,0,443
-13757.543427228895,-0.06265053483296351,578,-64.09868,9.34761,Other,nthabiseng,0.0,0,0,22
-12322.54342722892,-0.06125237728228493,15,33.236233,-32.971634,15,intelligent l.ife,0.0013717421124828531,0,2,1457
-8044.543427228896,-0.06254537009539404,1,62.203716,18.893711,1,global engineer,0.0,0,0,5735
-13041.543427228895,-0.06263735472582195,15,11.999584,31.243101,15,the guy that's tired of this shit.,0.0,0,0,738
-11806.543427229026,-0.05552242230023956,1,48.28613,-20.651718,1,sal salerno,0.0070921985815602835,0,14,1973
2742328.4565727706,-0.01166477977034696,1,76.27569,-17.738316,1,history,0.0002518042646353972,96,598,2756108
-12831.543427228895,-0.06263348905193965,1,28.812346,34.394695,1,nige-rider,0.0,0,0,948
-13779.543427228895,-0.0626509398083226,579,-35.86049,49.23439,Other,robert upton,0.0,0,0,0
-13556.543427228895,-0.06264683483081902,1,-13.779023,7.761826,1,roscoe (rossskull99),0.0,0,0,223
-13756.543427228895,-0.06265051642499264,15,-64.57056,8.292847,15,geurt,0.0,0,0,23
-13775.543427228895,-0.06265086617643913,580,-42.206306,41.479763,Other,ltnlx619,0.0,0,0,4
49339.45657277109,-0.06110881895821681,1,73.30853,-11.397765,1,espn asia,0.00038022813688212925,14,10,63119
-13684.543427228895,-0.06264919105109014,1,-41.422142,-14.184763,1,pepper potts,0.0,0,0,95
-12825.543427228895,-0.06263337860411444,581,29.100807,33.981144,Other,social media naija,0.0,0,0,954
