Community,Average Degree Centrality,Node Count,Community Description
272,0.0004280211157083,4,@lttltus | un | @teetoejackson
273,0.0004280211157083,4,@holywiccan | tom holland
274,0.0004280211157083,4,@prxm02257484 @mcu_talk1
275,0.0004280211157083,4,
276,0.0004280211157083,4,
277,0.0004280211157083,4,moment de la | les temps sont difficiles | il suffit d'une | un | sanitaires seront
278,0.0004280211157083,4,catt | christopher williams
279,0.0004280211157083,4,stan lee
280,0.0004280211157083,4,
281,0.0004280211157083,4,yun yung | ni chadwick | pa naman siya
282,0.0005706948209444,4,@buterabitchhh | chadwick boseman
283,0.0004280211157083,4,
284,0.0004280211157083,4,https://t.co/klyjj5k8n2 | chadwick boseman
285,0.0004280211157083,4,@lizstonecomedy
286,0.0004280211157083,4,@marvelsmodok
287,0.0004280211157083,4,@jaeminohsexc @chansoldior woozi | woozi
288,0.0004280211157083,4,
