Community,Average Degree Centrality,Node Count,Community Description
729,0.000380463213963,3,Other
730,0.000380463213963,3,Other
731,0.000380463213963,3,Other
732,0.000380463213963,3,Other
733,0.000380463213963,3,Other
734,0.000380463213963,3,Other
735,0.000380463213963,3,Other
736,0.000380463213963,3,Other
737,0.000380463213963,3,Other
738,0.000380463213963,3,Other
739,0.000380463213963,3,Other
740,0.000380463213963,3,Other
741,0.000380463213963,3,Other
742,0.000380463213963,3,Other
743,0.000380463213963,3,Other
744,0.000380463213963,3,Other
745,0.000380463213963,3,Other
746,0.000380463213963,3,Other
747,0.000380463213963,3,Other
748,0.000380463213963,3,Other
749,0.000380463213963,3,Other
750,0.000380463213963,3,Other
751,0.000380463213963,3,Other
752,0.000380463213963,3,Other
753,0.000380463213963,3,Other
754,0.000380463213963,3,Other
755,0.000380463213963,3,Other
756,0.000380463213963,3,Other
757,0.000380463213963,3,Other
758,0.000380463213963,3,Other
759,0.000380463213963,3,Other
760,0.000380463213963,3,Other
761,0.000380463213963,3,Other
762,0.000380463213963,3,Other
763,0.000380463213963,3,Other
764,0.000380463213963,3,Other
765,0.000380463213963,3,Other
766,0.000380463213963,3,Other
767,0.000380463213963,3,Other
768,0.000380463213963,3,Other
769,0.000380463213963,3,Other
770,0.000380463213963,3,Other
771,0.000380463213963,3,Other
772,0.000380463213963,3,Other
773,0.000380463213963,3,Other
774,0.000380463213963,3,Other
775,0.000380463213963,3,Other
776,0.000380463213963,3,Other
777,0.000380463213963,3,Other
778,0.000380463213963,3,Other
779,0.000380463213963,3,Other
780,0.000380463213963,3,Other
781,0.000380463213963,3,Other
782,0.000380463213963,3,Other
783,0.000380463213963,3,Other
784,0.000380463213963,3,Other
785,0.000380463213963,3,Other
786,0.000380463213963,3,Other
787,0.000380463213963,3,Other
788,0.000380463213963,3,Other
789,0.000380463213963,3,Other
790,0.000380463213963,3,Other
791,0.000380463213963,3,Other
792,0.000380463213963,3,Other
793,0.000380463213963,3,Other
794,0.000380463213963,3,Other
795,0.000380463213963,3,Other
796,0.000380463213963,3,Other
797,0.000380463213963,3,Other
798,0.000380463213963,3,Other
799,0.000380463213963,3,Other
800,0.000380463213963,3,Other
801,0.000380463213963,3,Other
802,0.000380463213963,3,Other
803,0.000380463213963,3,Other
804,0.000380463213963,3,Other
805,0.000380463213963,3,Other
806,0.000380463213963,3,Other
807,0.000380463213963,3,Other
808,0.000380463213963,3,Other
809,0.000380463213963,3,Other
810,0.000380463213963,3,Other
811,0.000380463213963,3,Other
812,0.000380463213963,3,Other
813,0.000380463213963,3,Other
814,0.000380463213963,3,Other
815,0.000380463213963,3,Other
816,0.000380463213963,3,Other
817,0.000380463213963,3,Other
818,0.000380463213963,3,Other
819,0.000380463213963,3,Other
820,0.000380463213963,3,Other
821,0.000380463213963,3,Other
822,0.000380463213963,3,Other
823,0.000380463213963,3,Other
824,0.000380463213963,3,Other
825,0.000380463213963,3,Other
826,0.000380463213963,3,Other
827,0.000380463213963,3,Other
828,0.000380463213963,3,Other
829,0.000380463213963,3,Other
830,0.000380463213963,3,Other
831,0.000380463213963,3,Other
832,0.000380463213963,3,Other
833,0.000380463213963,3,Other
834,0.000380463213963,3,Other
835,0.000380463213963,3,Other
836,0.000380463213963,3,Other
837,0.000380463213963,3,Other
838,0.000380463213963,3,Other
839,0.000380463213963,3,Other
840,0.000380463213963,3,Other
841,0.000380463213963,3,Other
842,0.000380463213963,3,Other
843,0.000380463213963,3,Other
844,0.000380463213963,3,Other
845,0.000380463213963,3,Other
846,0.000380463213963,3,Other
847,0.000380463213963,3,Other
848,0.000380463213963,3,Other
849,0.000380463213963,3,Other
850,0.000380463213963,3,Other
851,0.000380463213963,3,Other
852,0.000380463213963,3,Other
853,0.000380463213963,3,Other
854,0.000380463213963,3,Other
855,0.000380463213963,3,Other
856,0.000380463213963,3,Other
